,id,count_rooms,type,subway,address,square_m2,parking,renovation,balcony,view_from_the_window,wc,with_children/animals,ceiling_height,elevator,trash_сhute,price_per_m,rent_deposit,prepayment_mounth,utilities,floor,storeys_house,type_house
0,271271157,4,1,42,61,200.0,1,1,1.0,0,1.0,1,3.0,5.0,1,500000,1,1,1,5,16,3
1,271634126,4,1,42,61,198.0,1,1,1.0,1,3.0,1,3.5,2.0,0,500000,1,1,1,5,16,5
2,271173086,4,1,42,61,200.0,1,2,1.0,1,3.0,1,3.2,1.0,0,500000,1,1,0,5,16,1
3,272197456,4,1,42,659,170.0,1,2,1.0,1,3.0,1,3.2,1.0,0,400000,1,1,0,5,6,1
4,273614615,2,1,85,61,58.0,0,2,1.0,1,2.0,0,3.9,2.0,1,225000,1,1,1,12,26,1
5,274837728,3,1,42,352,92.0,0,1,1.0,0,1.0,0,2.99,2.0,0,470000,1,2,0,3,7,1
6,273643908,5,1,85,875,213.0,1,2,1.0,1,2.0,1,3.2,1.0,0,350000,1,1,0,4,5,1
7,274475342,3,1,42,216,98.0,1,2,1.0,0,2.0,1,3.2,1.0,0,250000,1,1,1,2,4,3
8,273973191,3,1,42,544,120.0,1,2,1.0,2,1.0,1,3.0,1.0,0,130000,1,1,1,5,10,6
9,272900409,4,1,85,216,90.0,1,2,1.0,1,2.0,1,2.99,1.0,1,210000,1,1,1,2,7,6
10,271036964,4,1,42,1455,170.0,1,2,1.0,1,3.0,1,3.2,1.0,0,290000,1,1,0,6,7,1
11,273999490,3,1,42,544,80.0,0,2,3.0,1,1.0,0,2.99,1.0,0,100000,1,1,1,4,8,2
12,274017037,3,1,42,860,100.0,0,1,1.0,0,2.0,1,2.99,1.0,0,200000,1,1,1,2,4,2
13,273231024,5,1,42,848,180.0,0,1,1.0,2,3.0,1,2.99,3.0,0,500000,1,1,1,6,8,3
14,274839211,5,1,68,359,222.2,1,2,1.0,0,2.0,0,2.99,1.0,0,450000,1,1,0,5,9,3
15,274767901,5,1,68,359,225.0,0,1,1.0,0,1.0,0,2.99,4.0,1,450000,1,1,1,5,9,3
16,274995950,2,1,85,61,30.0,0,2,1.0,2,1.0,1,2.99,2.0,0,120000,1,1,1,19,26,1
17,274945807,5,1,85,359,222.0,0,1,1.0,0,1.0,1,2.99,2.0,0,450000,1,1,0,5,9,1
18,272911145,5,1,269,1079,150.0,1,2,1.0,0,2.0,0,2.99,1.0,0,180000,1,1,0,4,7,2
19,274748017,5,1,68,359,201.0,0,2,1.0,1,3.0,1,3.2,1.0,0,190000,1,1,0,3,3,1
20,273941734,2,1,85,61,64.0,0,2,1.0,2,2.0,1,2.99,2.0,0,205000,1,1,1,12,26,1
21,274493570,3,1,68,533,112.0,1,2,1.0,1,2.0,1,3.2,1.0,0,230000,1,1,0,2,7,1
22,274849101,4,1,42,885,190.0,0,1,1.0,0,1.0,0,2.99,2.0,0,590000,1,1,0,4,5,1
23,223918678,5,1,85,359,255.6,0,2,1.0,0,3.0,1,2.99,2.0,0,850000,1,1,1,8,9,3
24,274391259,5,1,85,359,186.0,1,2,1.0,1,2.0,1,3.3,2.0,1,190000,1,1,1,3,3,7
25,272945376,3,1,85,639,100.0,1,2,1.0,1,2.0,1,3.2,1.0,0,200000,1,1,0,3,8,1
26,272612966,5,1,85,1079,150.0,0,2,1.0,0,2.0,0,2.99,1.0,0,200000,1,1,0,4,7,1
27,271568490,5,1,42,659,140.0,0,1,1.0,2,1.0,1,2.99,1.0,0,300000,1,1,0,2,7,1
28,264664760,3,1,85,61,132.8,0,2,1.0,0,2.0,1,2.99,2.0,0,400000,1,1,1,5,13,3
29,228923308,5,1,85,359,256.0,1,1,1.0,1,4.0,1,3.0,2.0,1,750000,1,3,1,8,10,5
30,267489303,6,1,85,875,380.0,1,3,1.0,1,3.0,1,4.0,1.0,1,870000,1,1,1,3,6,7
31,273353104,3,1,42,61,112.0,1,1,1.0,0,2.0,0,3.15,2.0,1,350000,1,1,0,3,13,5
32,273353103,2,1,42,61,91.0,1,1,1.0,0,2.0,0,3.15,2.0,1,400000,1,1,0,10,13,5
33,268321690,3,1,85,61,135.0,1,1,1.0,1,2.0,1,2.99,3.0,0,400000,1,1,1,5,13,5
34,269496185,4,1,42,885,190.0,1,1,1.0,1,2.0,1,3.2,2.0,0,590000,1,1,1,4,5,5
35,272188531,2,1,85,61,44.0,0,1,1.0,0,1.0,0,4.15,2.0,1,135000,1,1,0,21,26,1
36,272727784,3,1,42,216,85.0,0,2,1.0,0,1.0,1,2.99,2.0,0,150000,1,1,1,7,7,1
37,267110043,2,1,42,352,100.0,0,1,1.0,2,2.0,1,3.0,2.0,1,320000,1,1,0,5,7,5
38,265323319,3,1,42,61,133.3,1,1,1.0,0,2.0,1,3.15,2.0,1,400000,1,1,0,5,13,5
39,265804792,4,1,42,659,210.0,0,1,1.0,1,3.0,1,3.8,2.0,1,400000,1,1,0,3,5,1
40,239000408,4,1,85,1185,180.0,0,1,1.0,0,2.0,1,2.99,2.0,1,450000,1,1,0,4,4,1
41,271209314,4,1,42,61,165.0,0,1,1.0,0,2.0,1,3.35,2.0,1,470000,1,1,0,9,16,5
42,269889430,4,1,42,885,190.0,0,1,1.0,0,2.0,1,4.05,2.0,1,590000,1,1,0,4,6,1
43,241704098,4,1,42,61,168.0,0,1,1.0,0,2.0,1,3.35,2.0,1,600000,1,1,0,4,16,5
44,239000331,5,1,68,359,250.0,0,1,1.0,0,3.0,1,2.99,2.0,1,850000,1,1,0,8,9,5
45,272823500,3,1,85,216,85.0,1,2,1.0,0,1.0,0,2.99,1.0,0,150000,1,1,0,7,7,2
46,274402813,3,1,42,1032,105.0,1,2,1.0,1,3.0,1,2.99,2.0,0,195000,1,1,1,6,17,5
47,270190788,3,1,42,1032,134.0,1,2,1.0,0,2.0,1,2.99,1.0,0,300000,1,1,0,8,16,3
48,271265359,2,1,42,216,60.0,1,2,1.0,1,1.0,1,3.2,1.0,0,90000,1,1,0,5,6,1
49,274289253,3,1,85,216,85.0,0,1,1.0,0,1.0,0,2.99,2.0,0,150000,1,1,0,7,7,1
50,274150874,5,1,42,216,150.0,0,1,1.0,0,1.0,0,2.99,2.0,0,250000,1,1,0,4,6,1
51,274849686,4,1,42,352,142.0,1,2,1.0,1,2.0,0,3.2,1.0,0,350000,1,1,0,12,13,1
52,274315381,5,1,85,359,222.0,0,2,1.0,2,1.0,1,2.99,1.0,0,450000,1,1,0,7,9,1
53,273779074,2,1,42,860,60.0,0,1,1.0,2,1.0,1,3.6,1.0,0,120000,1,1,1,3,6,2
54,274217247,3,1,42,216,103.0,0,1,1.0,1,1.0,1,3.8,2.0,0,120000,1,1,1,2,3,2
55,272156997,5,1,68,639,170.0,1,2,1.0,0,2.0,1,3.2,1.0,0,175000,1,1,1,5,5,2
56,274617827,5,1,68,359,200.0,0,2,1.0,0,1.0,1,2.99,2.0,0,190000,1,1,1,3,3,2
57,274252871,3,1,42,1032,105.0,1,1,1.0,1,3.0,1,3.0,3.0,1,240000,1,1,1,6,17,3
58,269132104,1,1,42,61,60.0,1,2,1.0,0,1.0,1,3.0,2.0,0,250000,1,1,1,2,12,5
59,273911217,5,1,42,216,155.0,0,1,1.0,2,1.0,0,2.99,1.0,0,250000,1,1,0,4,6,1
60,269716469,3,1,42,1032,134.0,1,2,1.0,1,2.0,1,3.0,2.0,1,300000,1,1,1,8,16,5
61,274137125,5,1,60,352,214.6,1,1,1.0,1,4.0,1,2.99,1.0,0,500000,1,0,0,3,13,1
62,274140104,5,1,42,352,204.0,1,1,1.0,0,4.0,1,3.2,2.0,0,500000,1,1,1,2,14,3
63,271258034,5,1,42,848,180.0,0,2,1.0,0,1.0,1,2.99,1.0,0,500000,1,1,0,7,8,1
64,166833883,6,1,85,1033,260.0,0,1,5.0,2,4.0,1,2.99,2.0,0,590000,1,1,1,6,8,2
65,273798495,4,1,42,1035,237.1,0,1,1.0,1,3.0,0,2.99,2.0,0,650000,1,1,1,7,11,3
66,274810876,4,1,42,659,215.0,1,2,1.0,0,3.0,0,2.99,2.0,0,700000,1,0,0,5,5,2
67,274199925,3,1,85,216,100.0,0,1,1.0,0,1.0,1,2.99,2.0,0,115000,1,1,1,2,3,1
